Children taking ARV,Year,Number
Children taking ARV,2020,61537
Children taking ARV,2019,61210
Children taking ARV,2018,59623
Children taking ARV,2017,55618
Children taking ARV,2016,55165
Children taking ARV,2015,51819
Children taking ARV,2014,42145
Children taking ARV,2013,38808
Children taking ARV,2012,32643
Children taking ARV,2011,19878
Children taking ARV,2010,19319
Children taking ARV,2009,12921
Children taking ARV,2008,12891
Children taking ARV,2007,11216
Children taking ARV,2006,9794
Children taking ARV,2005,8378
Children taking ARV,2004,6962
Children taking ARV,2003,5570
Children taking ARV,2002,4177
Children taking ARV,2001,2785
Children taking ARV,2000,1392
