People taking ARV,Year,Number
People taking ARV,2020,1422782
People taking ARV,2019,1277012
People taking ARV,2018,1108728
People taking ARV,2017,970362
People taking ARV,2016,851057
People taking ARV,2015,744072
People taking ARV,2014,643682
People taking ARV,2013,515482
People taking ARV,2012,433578
People taking ARV,2011,268557
People taking ARV,2010,244225
People taking ARV,2009,200188
People taking ARV,2008,154960
People taking ARV,2007,135924
People taking ARV,2006,60520
People taking ARV,2005,19712
People taking ARV,2004,6962
People taking ARV,2003,5570
People taking ARV,2002,4177
People taking ARV,2001,2785
People taking ARV,2000,1392
