People with HIV,Year,Number
People with HIV,2020,1700000
People with HIV,2019,1700000
People with HIV,2018,1700000
People with HIV,2017,1600000
People with HIV,2016,1600000
People with HIV,2015,1600000
People with HIV,2014,1500000
People with HIV,2013,1500000
People with HIV,2012,1400000
People with HIV,2011,1400000
People with HIV,2010,1400000
People with HIV,2009,1300000
People with HIV,2008,1300000
People with HIV,2007,1300000
People with HIV,2006,1300000
People with HIV,2005,1300000
People with HIV,2004,1300000
People with HIV,2003,1300000
People with HIV,2002,1200000
People with HIV,2001,1200000
People with HIV,2000,1200000
