Percentage of Children taking ARV,Year,Percentage
Percentage of Children taking ARV,2020,54
Percentage of Children taking ARV,2019,51
Percentage of Children taking ARV,2018,47
Percentage of Children taking ARV,2017,42
Percentage of Children taking ARV,2016,40
Percentage of Children taking ARV,2015,37
Percentage of Children taking ARV,2014,30
Percentage of Children taking ARV,2013,27
Percentage of Children taking ARV,2012,22
Percentage of Children taking ARV,2011,13
Percentage of Children taking ARV,2010,12
Percentage of Children taking ARV,2009,8
Percentage of Children taking ARV,2008,8
Percentage of Children taking ARV,2007,7
Percentage of Children taking ARV,2006,6
Percentage of Children taking ARV,2005,5
Percentage of Children taking ARV,2004,4
Percentage of Children taking ARV,2003,4
Percentage of Children taking ARV,2002,3
Percentage of Children taking ARV,2001,2
Percentage of Children taking ARV,2000,1
